"TITULO";"AUTHOR";"EDITORIAL";"PRICE";"CATEGORIA";"DESCRIPCION";"PORTADA";"STADO"
"La universidad desconocida";"Roberto Bolaño";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"Las cartas de Groucho";"Groucho Marx";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"Las decadas purpuras";"Tom Wolfe";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"Los ultimos 3 dias de Fernando Pessoa";"Antonio Tabucchi";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"Mi hermosa lavanderia";"Sam Shepard";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"Nietzsche, Marx, Freud";"Michel Foucault";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"Placeres sencillos";"Jane Bowles";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"Prision perpetua";"Ricardo Piglia";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"Relatos de lo inesperado";"Roald Dahl";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"Si";"Thomas Bernhard";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"Sobre la historia natural de la destruccion";"W. G. Sebald";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"El gran sueño del paraiso";"Sam Shepard";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"Varamo";"César Aira";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"Virginia Woolf ataca de nuevo";"Copi";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"Visitando a Mr. Nabokov";"Martin Amis";"Anagrama";650.0;0.0;0.0;0.0;"Nuevo"
"Don Segundo Sombra";"Ricardo Guiraldes";"Clarin";500.0;0.0;0.0;0.0;"Usado"
"El aleph";"Jorge Luis Borges";"Clarin";500.0;0.0;0.0;0.0;"Usado"
"El casamiento de Laucha";"Roberto J. Payro";"Clarin";500.0;0.0;0.0;0.0;"Usado"
"El matadero y otros escritos";"Esteban Echeverria";"Clarin";500.0;0.0;0.0;0.0;"Usado"
"Fausto";"Estanislao Del Campo";"Clarin";500.0;0.0;0.0;0.0;"Usado"
"Juvenilia";"Miguel Cane";"Clarin";500.0;0.0;0.0;0.0;"Usado"
"Los siete locos";"Roberto Arlt";"Clarin";500.0;0.0;0.0;0.0;"Usado"
"Rimas";"Gustavo A. Becquer";"Cronica";450.0;0.0;0.0;0.0;"Usado"
"El candor del padre Brown 1 - 2";"G. K. Chesterton";"Pagina 12";450.0;0.0;0.0;0.0;"Usado"
"El decameron 1 - 2";"Boccaccio";"Pagina 12";450.0;0.0;0.0;0.0;"Usado"
"El hombre que corrompio Hadleyburg";"Mark Twain";"Cronica";450.0;0.0;0.0;0.0;"Usado"
"El hombre que fue jueves";"G. K. Chesterton";"Cronica";450.0;0.0;0.0;0.0;"Usado"
"El mandarin";"Jose M. Eca de Queiroz";"Cronica";450.0;0.0;0.0;0.0;"Usado"
"El principe";"Niccolo Machiavelli";"Cronica";450.0;0.0;0.0;0.0;"Usado"
"El yaci-yatere";"Horacio Quiroga";"Pagina 12";450.0;0.0;0.0;0.0;"Usado"
"La gran aldea";"Lucio Vicente Lopez";"Cronica";450.0;0.0;0.0;0.0;"Usado"
"La muerte de Ivan Illich";"Leon Tolstoi";"Cronica";450.0;0.0;0.0;0.0;"Usado"
"La sombra fuera del espacio";"H. P. Lovecraft";"Pagina 12";450.0;0.0;0.0;0.0;"Usado"
"Los evangelios";"Mateo Marcos Lucas Juan";"Cronica";450.0;0.0;0.0;0.0;"Usado"
"Otra vuelta de tuerca";"Henry James";"Cronica";450.0;0.0;0.0;0.0;"Usado"
"Seis personajes en busca de autor";"Luigi Pirandello";"Cronica";450.0;0.0;0.0;0.0;"Usado"
"Vanina Vanini";"Stendhal";"Pagina 12";450.0;0.0;0.0;0.0;"Usado"
"Billy Bud, marinero";"Hermann Melville";"Pagina 12";450.0;0.0;0.0;0.0;"Usado"
"Doña Rosita la soltera ";"Federico G. Lorca";"Pagina 12";450.0;0.0;0.0;0.0;"Usado"
"Cuentos de pago chico";"Roberto Payro";"Cronica";450.0;0.0;0.0;0.0;"Usado"
"Candido";"Voltaire";"Cronica";450.0;0.0;0.0;0.0;"Usado"
"El duelo";"Joseph Conrad";"Diario Popular";450.0;0.0;0.0;0.0;"Usado"
"La luna roja";"Roberto Arlt";"Diario Popular";450.0;0.0;0.0;0.0;"Usado"
