TITULO,AUTHOR,EDITORIAL,PRICE,CATEGORIA,DESCRIPCION,PORTADA,STADO
"El caso de Charles Ward","H. P. Lovecraft",Tolemia,650,NULL,NULL,NULL,Nuevo
"La sombra sobre Innsmouh","H. P. Lovecraft",Tolemia,650,NULL,NULL,NULL,Nuevo
"La virgen de los sicarios","Fernando Vallejos",Octaedro,600,NULL,NULL,NULL,Nuevo
"Fahrenheit 451","Ray Bradbury",Octaedro,600,NULL,NULL,NULL,Nuevo
"La exhibicion de las atrocidades","J. G. Ballard",Octaedro,600,NULL,NULL,NULL,Nuevo
"La mascara de la muerte roja","Edgar Allan Poe",Dama,550,NULL,NULL,NULL,Nuevo
"En la colonia penitenciaria","Franz Kafka",Dama,550,NULL,NULL,NULL,Nuevo
"Edgar Allan Poe 1809 - 1849","Edgar Allan Poe",Batiscafo,500,NULL,NULL,NULL,Nuevo
"El diario de Ana Frank","Ana Frank",Edicol,750,NULL,NULL,NULL,Nuevo
"El demonio y la srita. Prym","Paulo Coehlo ","La Nacion",550,NULL,NULL,NULL,Usado
"El libro de las revelaciones","Mario Mendoza",Planeta,800,NULL,NULL,NULL,Nuevo
Frankenstein,"Mary Shelley",Agebe,800,NULL,NULL,NULL,Nuevo
"Sobre el amor y la muerte","Patrick Suskind","Seix Barrial",1800,NULL,NULL,NULL,Nuevo
"La importancia de llamarse Ernesto","Oscar Wilde",Mawis,400,NULL,NULL,NULL,Nuevo
"La Eneida",Virgilio,Fontana,550,NULL,NULL,NULL,Nuevo
"Los Cuadernos De Don Rigoberto","Mario Vagas Llosa",Alfaguara,1000,NULL,NULL,NULL,Nuevo
"Monologos de la vagina","Eve Ensler",Planeta,700,NULL,NULL,NULL,Usado
"Cuentos de amor, de locura y de muerte","Horacio Quiroga",Agebe,650,NULL,NULL,NULL,Nuevo
Yerma,"Federico G. Lorca",Agebe,600,NULL,NULL,NULL,Nuevo
"Autobiografia sucinta","Witold Gombrowicz",Anagrama,650,NULL,NULL,NULL,Nuevo
Bonsai,"Alejandro Zambra",Anagrama,650,NULL,NULL,NULL,Nuevo
"Catedral y otros cuentos","Raymond Carver",Anagrama,650,NULL,NULL,NULL,Nuevo
"Damas chinas","Mario Bellatin",Anagrama,650,NULL,NULL,NULL,Nuevo
Duo,Colette,Anagrama,650,NULL,NULL,NULL,Nuevo
"El hombre que confundio a su mujer …","Oliver Sacks",Anagrama,650,NULL,NULL,NULL,Nuevo
"El perdedor radical","Hans Magnus Enzensberger",Anagrama,650,NULL,NULL,NULL,Nuevo
"Escritos sobre la cocaina","Sigmund Freud",Anagrama,650,NULL,NULL,NULL,Nuevo
"Historia del llanto","Alan Pauls",Anagrama,650,NULL,NULL,NULL,Nuevo
Humo,"Djuna Barnes",Anagrama,650,NULL,NULL,NULL,Nuevo
"La dominacion masculina y otros ensayos","Pierre Bourdieu",Anagrama,650,NULL,NULL,NULL,Nuevo
